beam_id,epc,frequency,phase,rssi,time,in_box
0,E2806894000040020365148D,866900000,14,-513,1570717139.235914,1
0,E2806894000040020365188D,866900000,44,-554,1570717139.237946,1
0,E2806894000050020364FC8D,866900000,9,-500,1570717139.2419438,1
0,E2806894000040020364F48D,866900000,2,-446,1570717139.252235,1
0,E2806894000040020364F88D,866900000,5,-453,1570717139.256298,1
0,3035345E3C44B1999C832C91,866900000,47,-669,1570717139.260101,0
0,3035345E3C3C7F199C832299,866900000,61,-754,1570717139.2650292,0
0,E2806894000050020365108D,866900000,25,-566,1570717139.271034,1
0,3035345E3C1BD4599C8308A5,866900000,53,-735,1570717139.2750232,0
0,E2806894000050020364F08D,866900000,57,-506,1570717139.279027,1
0,3035345E3C43CA999C832AE4,866900000,61,-729,1570717139.283165,0
0,3035345E3C44B1999C832C90,866900000,58,-620,1570717139.2849422,0
0,E28068940000400203650C8D,866900000,59,-494,1570717139.296059,1
0,3035345E3C3EE171312231E5,866900000,35,-614,1570717139.301249,0
0,3035345E3C44B1999C832C8F,866900000,9,-669,1570717139.3050182,0
0,3035345E3C463A999C832E1D,866900000,30,-701,1570717139.309246,0
0,3035345E3C3CBE199C8322B9,866900000,8,-669,1570717139.328247,0
0,3035345E3C3EE6199C832562,866900000,59,-669,1570717139.328649,0
0,3035345E3C4648D99C832E25,866900000,27,-754,1570717139.328904,0
0,30347A1200001B35C73FFFCB,866900000,13,-659,1570717139.330183,0
0,3035345E3C4693599C832E6F,866900000,27,-634,1570717139.3362072,0
0,3035345E3C3DEAD99C8323D1,866900000,28,-770,1570717139.3424928,0
0,3035345E3C3D0F199C8322F6,866900000,29,-741,1570717139.345109,0
0,3035345E3C44B1999C832C92,866900000,22,-669,1570717139.3521225,0
0,3035345E3C4432199C832B74,866900000,43,-719,1570717139.35599,0
0,3035345E3C4653599C832E2E,866900000,58,-609,1570717139.3611462,0
0,3035345E3C43CC199C832AE8,866900000,36,-669,1570717139.365959,0
0,3035345E3C44B8199C832CB9,866900000,43,-620,1570717139.369931,0
0,3035345E3C3D12D99C8322F8,866900000,43,-680,1570717139.374945,0
0,3035345E3C3EE5D99C832560,866900000,8,-598,1570717139.378911,0
0,3035345E3C3EE4D99C83255F,866900000,34,-609,1570717139.3913279,0
0,3035345E3C402F999C832750,866900000,30,-762,1570717139.3951008,0
0,E2806894000050020365088D,866900000,48,-494,1570717139.396052,1
0,3035345E3C4744999C832F11,866900000,59,-710,1570717139.409446,0
0,3035345E3C3D12D99C8322F7,866900000,4,-674,1570717139.4142025,0
0,3035345E3C4739999C832F0F,866900000,33,-701,1570717139.42115,0
0,3035345E3C3CCC999C8322C7,866900000,25,-735,1570717139.425078,0
0,3035345E3C3EE6199C832561,866900000,17,-641,1570717139.428907,0
0,3035345E3C3D13D99C83231A,866900000,9,-659,1570717139.434126,0
0,3035345E3C475A599C832F1E,866900000,3,-659,1570717139.437927,0
0,3035345E3C3E59599C83249A,866900000,56,-598,1570717139.4419286,0
0,3035345E3C43CAD99C832AE6,866900000,35,-694,1570717139.4459178,0
0,3035345E3C3CD0999C8322CD,866900000,49,-735,1570717139.450958,0
0,E2806894000050020365048D,866900000,17,-488,1570717139.457257,1
0,3035345E3C2B40999C8314BE,866900000,16,-669,1570717139.4641788,0
0,3035345E3C464E599C832E2B,866900000,0,-710,1570717139.471369,0
0,3035345E3C43CBD99C832AE7,866900000,31,-659,1570717139.475382,0
0,3035345E3C43CAD99C832AE5,866900000,21,-729,1570717139.480341,0
0,3035345E3C434FD99C832A42,866900000,13,-710,1570717139.486193,0
0,3035345E3C475A199C832F1D,866900000,53,-680,1570717139.4889338,0
0,3035345E3C468ED99C832E6E,866900000,0,-627,1570717139.495143,0
0,3035345E3C447F599C832C43,866900000,62,-719,1570717139.4989212,0
0,3035345E3C3E5AD99C83249B,866900000,2,-614,1570717139.502918,0
0,3035345E3C3B8B599C832199,866900000,28,-754,1570717139.510922,0
0,3035345E3C44B1999C832C8E,866900000,59,-741,1570717139.514913,0
0,3035345E3C3CBE199C8322B9,866900000,22,-680,1570717139.524149,0
0,3035345E3C468ED99C832E6E,866900000,23,-641,1570717139.527984,0
0,E2806894000050020365108D,866900000,62,-548,1570717139.5319822,1
0,E2806894000050020364FC8D,866900000,41,-719,1570717139.536075,1
0,3035345E3C3E59599C83249A,866900000,55,-614,1570717139.542248,0
