epc,rssi,phase,beam_id,frequency,time
E28011700000020D350CC59F,-669,28,0,866900000,1572350845.504713
E28011700000020D350CABDF,-649,61,0,866900000,1572350845.5051858
E28011700000020D350CAB3F,-687,45,0,866900000,1572350845.513731
E28011700000020D350CABCF,-649,33,0,866900000,1572350845.5220401
E28011700000020D350CE1BE,-614,17,0,866900000,1572350845.5227962
E28011700000020D350CAB2F,-634,57,0,866900000,1572350845.528306
E28011700000020D350CABCF,-649,34,0,866900000,1572350845.542579
E28011700000020D350CC59F,-669,28,0,866900000,1572350845.546467
E28011700000020D350CE1BE,-609,20,0,866900000,1572350845.551672
E28011700000020D350CAB2F,-627,56,0,866900000,1572350845.5544848
E28011700000020D350CABDF,-659,2,0,866900000,1572350845.567508
E28011700000020D350CAB3F,-687,47,0,866900000,1572350845.5728118
E28011700000020D350CC58F,-609,20,0,866900000,1572350845.577858
E28011700000020D350CC400,-687,20,0,866900000,1572350845.584867
E28011700000020D350CC58F,-680,29,1,866900000,1572350845.6005619
E28011700000020D350CABFF,-719,22,1,866900000,1572350845.604636
E28011700000020D350CABDF,-634,15,1,866900000,1572350845.609492
E28011700000020D350CABEF,-669,11,1,866900000,1572350845.613654
E28011700000020D350CABCF,-830,58,1,866900000,1572350845.615531
E28011700000020D350CE1BE,-687,63,1,866900000,1572350845.626477
E28011700000020D350CAB3F,-719,45,1,866900000,1572350845.6279092
E28011700000020D350CAB2F,-719,14,1,866900000,1572350845.6355774
E28011700000020D350CC400,-747,2,1,866900000,1572350845.640202
E28011700000020D350CABDF,-634,16,1,866900000,1572350845.6508882
E28011700000020D350CC400,-762,4,1,866900000,1572350845.655552
E28011700000020D350CABCF,-807,63,1,866900000,1572350845.657372
E28011700000020D350CABEF,-669,13,1,866900000,1572350845.671787
E28011700000020D350CC58F,-687,31,1,866900000,1572350845.675545
E28011700000020D350CAB2F,-701,12,1,866900000,1572350845.680491
E28011700000020D350CAB3F,-701,40,1,866900000,1572350845.6844141
E28011700000020D350CE1BE,-701,63,1,866900000,1572350845.688847
E28011700000020D350CABFF,-710,18,1,866900000,1572350845.6907868
E28011700000020D350CC59F,-674,31,0,866900000,1572350845.7148519
E28011700000020D350CAB2F,-641,58,0,866900000,1572350845.718484
E28011700000020D350CABDF,-634,2,0,866900000,1572350845.7228038
E28011700000020D350CC58F,-598,20,0,866900000,1572350845.72867
E28011700000020D350CE1BE,-598,20,0,866900000,1572350845.7335098
E28011700000020D350CABCF,-669,35,0,866900000,1572350845.745696
E28011700000020D350CAB3F,-694,44,0,866900000,1572350845.7459252
E28011700000020D350CC400,-674,23,0,866900000,1572350845.755828
E28011700000020D350CAB3F,-674,47,0,866900000,1572350845.770978
E28011700000020D350CABDF,-659,1,0,866900000,1572350845.778044
E28011700000020D350CC58F,-598,19,0,866900000,1572350845.77881
E28011700000020D350CAB2F,-627,57,0,866900000,1572350845.787477
E28011700000020D350CABCF,-659,32,0,866900000,1572350845.791418
E28011700000020D350CE1BE,-620,20,0,866900000,1572350845.7986536
E28011700000020D350CC59F,-669,30,0,866900000,1572350845.803491
E28011700000020D350CC400,-687,19,0,866900000,1572350845.804647
E28011700000020D350CC58F,-680,33,1,866900000,1572350845.824936
E28011700000020D350CAB2F,-719,18,1,866900000,1572350845.825629
E28011700000020D350CABEF,-669,13,1,866900000,1572350845.8364801
E28011700000020D350CABDF,-641,17,1,866900000,1572350845.8424711
E28011700000020D350CABFF,-710,16,1,866900000,1572350845.8456252
E28011700000020D350CE1BE,-687,0,1,866900000,1572350845.846532
E28011700000020D350CC400,-789,3,1,866900000,1572350845.85254
E28011700000020D350CAB3F,-701,40,1,866900000,1572350845.8574169
E28011700000020D350CE1BE,-687,61,1,866900000,1572350845.8674939
E28011700000020D350CABDF,-634,17,1,866900000,1572350845.8729026
E28011700000020D350CAB3F,-710,42,1,866900000,1572350845.87756
E28011700000020D350CABEF,-659,15,1,866900000,1572350845.8814046
E28011700000020D350CC400,-789,3,1,866900000,1572350845.8844461
E28011700000020D350CAB2F,-710,17,1,866900000,1572350845.89446
E28011700000020D350CABFF,-701,21,1,866900000,1572350845.898134
E28011700000020D350CC58F,-694,31,1,866900000,1572350845.9007628
E28011700000020D350CABDF,-649,2,0,866900000,1572350845.9286668
E28011700000020D350CC59F,-680,33,0,866900000,1572350845.932652
E28011700000020D350CC400,-694,20,0,866900000,1572350845.9366539
E28011700000020D350CC58F,-609,19,0,866900000,1572350845.941835
E28011700000020D350CAB2F,-641,58,0,866900000,1572350845.946456
E28011700000020D350CABFF,-754,34,0,866900000,1572350845.9493408
E28011700000020D350CE1BE,-627,17,0,866900000,1572350845.953451
E28011700000020D350CABCF,-649,34,0,866900000,1572350845.959134
E28011700000020D350CAB3F,-687,50,0,866900000,1572350845.961426
E28011700000020D350CC58F,-609,19,0,866900000,1572350845.975862
E28011700000020D350CE1BE,-614,17,0,866900000,1572350845.985465
E28011700000020D350CAB2F,-641,61,0,866900000,1572350845.991458
E28011700000020D350CC59F,-669,34,0,866900000,1572350845.9946518
E28011700000020D350CABCF,-649,30,0,866900000,1572350845.9994462
E28011700000020D350CABDF,-634,3,0,866900000,1572350846.004407
E28011700000020D350CABFF,-770,31,0,866900000,1572350846.008655
E28011700000020D350CAB3F,-710,52,0,866900000,1572350846.013317
E28011700000020D350CC400,-687,21,0,866900000,1572350846.016432
E28011700000020D350CABEF,-680,15,1,866900000,1572350846.040121
E28011700000020D350CABDF,-627,20,1,866900000,1572350846.045506
E28011700000020D350CABFF,-735,16,1,866900000,1572350846.053395
E28011700000020D350CC400,-770,3,1,866900000,1572350846.062508
E28011700000020D350CE1BE,-719,34,1,866900000,1572350846.064572
E28011700000020D350CAB3F,-741,40,1,866900000,1572350846.075553
E28011700000020D350CC58F,-694,15,1,866900000,1572350846.078366
E28011700000020D350CAB2F,-710,15,1,866900000,1572350846.085643
E28011700000020D350CABDF,-627,19,1,866900000,1572350846.101454
E28011700000020D350CAB2F,-719,15,1,866900000,1572350846.1154966
E28011700000020D350CABEF,-680,17,1,866900000,1572350846.122574
E28011700000020D350CE1BE,-741,25,1,866900000,1572350846.1266289
E28011700000020D350CC58F,-710,10,1,866900000,1572350846.132632
E28011700000020D350CABFF,-754,2,1,866900000,1572350846.1354802
E28011700000020D350CAB3F,-729,35,1,866900000,1572350846.136408
E28011700000020D350CAB2F,-680,61,0,866900000,1572350846.158915
E28011700000020D350CABCF,-669,30,0,866900000,1572350846.1631699
E28011700000020D350CABDF,-634,59,0,866900000,1572350846.1678882
E28011700000020D350CABFF,-762,16,0,866900000,1572350846.173172
E28011700000020D350CE1BE,-641,63,0,866900000,1572350846.1785989
E28011700000020D350CC58F,-649,9,0,866900000,1572350846.1813838
E28011700000020D350CAB3F,-719,60,0,866900000,1572350846.186547
E28011700000020D350CABEF,-701,52,0,866900000,1572350846.1884232
E28011700000020D350CC59F,-729,30,0,866900000,1572350846.198709
E28011700000020D350CABFF,-729,12,0,866900000,1572350846.2085602
E28011700000020D350CAB3F,-741,4,0,866900000,1572350846.2105238
E28011700000020D350CABEF,-694,56,0,866900000,1572350846.218509
E28011700000020D350CC400,-710,24,0,866900000,1572350846.224834
E28011700000020D350CABDF,-641,61,0,866900000,1572350846.2280688
E28011700000020D350CE1BE,-649,55,0,866900000,1572350846.232049
E28011700000020D350CABCF,-674,25,0,866900000,1572350846.241544
E28011700000020D350CAB2F,-674,0,0,866900000,1572350846.245625
E28011700000020D350CC59F,-701,39,0,866900000,1572350846.249422
E28011700000020D350CC58F,-659,63,0,866900000,1572350846.2513864
E28011700000020D350CABDF,-614,19,1,866900000,1572350846.275601
E28011700000020D350CE1BE,-710,3,1,866900000,1572350846.2795386
E28011700000020D350CC59F,-729,3,1,866900000,1572350846.28448
E28011700000020D350CAB3F,-762,42,1,866900000,1572350846.288496
E28011700000020D350CABEF,-659,8,1,866900000,1572350846.291177
E28011700000020D350CAB2F,-710,6,1,866900000,1572350846.30464
E28011700000020D350CC58F,-729,54,1,866900000,1572350846.308557
E28011700000020D350CABFF,-789,11,1,866900000,1572350846.31462
E28011700000020D350CABDF,-609,30,1,866900000,1572350846.326549
E28011700000020D350CAB3F,-754,53,1,866900000,1572350846.33364
E28011700000020D350CC59F,-701,62,1,866900000,1572350846.3376892
E28011700000020D350CE1BE,-694,3,1,866900000,1572350846.343591
E28011700000020D350CAB2F,-701,12,1,866900000,1572350846.348383
E28011700000020D350CABEF,-649,15,1,866900000,1572350846.352366
E28011700000020D350CABFF,-747,5,1,866900000,1572350846.3602822
E28011700000020D350CC58F,-754,8,1,866900000,1572350846.363841
E28011700000020D350CC59F,-669,36,0,866900000,1572350846.380481
E28011700000020D350CABCF,-719,41,0,866900000,1572350846.386517
E28011700000020D350CE1BE,-669,51,0,866900000,1572350846.392477
E28011700000020D350CABEF,-659,1,0,866900000,1572350846.3956392
E28011700000020D350CC400,-710,2,0,866900000,1572350846.400424
E28011700000020D350CABFF,-649,52,0,866900000,1572350846.4059849
E28011700000020D350CC58F,-649,5,0,866900000,1572350846.410444
E28011700000020D350CAB3F,-729,48,0,866900000,1572350846.4133382
E28011700000020D350CABDF,-598,48,0,866900000,1572350846.428308
E28011700000020D350CABFF,-627,57,0,866900000,1572350846.428777
E28011700000020D350CC400,-694,15,0,866900000,1572350846.436416
E28011700000020D350CABDF,-598,56,0,866900000,1572350846.4408052
E28011700000020D350CC58F,-641,1,0,866900000,1572350846.4443786
E28011700000020D350CC59F,-659,37,0,866900000,1572350846.4474509
E28011700000020D350CE1BE,-680,52,0,866900000,1572350846.456583
E28011700000020D350CABEF,-634,5,0,866900000,1572350846.457377
E28011700000020D350CC59F,-641,2,1,866900000,1572350846.4804919
E28011700000020D350CABEF,-614,10,1,866900000,1572350846.48444
E28011700000020D350CC58F,-729,38,1,866900000,1572350846.488348
E28011700000020D350CABDF,-538,25,1,866900000,1572350846.4913561
E28011700000020D350CC400,-701,24,1,866900000,1572350846.5034306
E28011700000020D350CABFF,-598,8,1,866900000,1572350846.5043051
E28011700000020D350CE1BE,-710,23,1,866900000,1572350846.520434
E28011700000020D350CAB2F,-741,43,1,866900000,1572350846.528383
E28011700000020D350CABEF,-609,7,1,866900000,1572350846.531266
E28011700000020D350CC400,-680,27,1,866900000,1572350846.535318
E28011700000020D350CABDF,-529,36,1,866900000,1572350846.5396051
E28011700000020D350CAB2F,-719,54,1,866900000,1572350846.5423632
E28011700000020D350CAB3F,-659,42,1,866900000,1572350846.5534348
E28011700000020D350CABFF,-581,9,1,866900000,1572350846.5544
E28011700000020D350CE1BE,-719,28,1,866900000,1572350846.5667279
E28011700000020D350CC59F,-620,0,1,866900000,1572350846.570477
E28011700000020D350CABCF,-659,38,1,866900000,1572350846.571422
E28011700000020D350CC58F,-659,32,1,866900000,1572350846.578984
E28011700000020D350CABEF,-609,5,0,866900000,1572350846.59862
E28011700000020D350CC400,-680,26,0,866900000,1572350846.607767
E28011700000020D350CABFF,-589,2,0,866900000,1572350846.616333
E28011700000020D350CC58F,-694,61,0,866900000,1572350846.621425
E28011700000020D350CABCF,-710,49,0,866900000,1572350846.625757
E28011700000020D350CABDF,-573,32,0,866900000,1572350846.630334
E28011700000020D350CAB3F,-710,23,0,866900000,1572350846.633625
E28011700000020D350CC59F,-674,28,0,866900000,1572350846.6406796
E28011700000020D350CAB2F,-762,1,0,866900000,1572350846.641473
E28011700000020D350CE1BE,-719,28,0,866900000,1572350846.647388
