epc,rssi,phase,beam_id,frequency,time
E28011700000020D350CE1BE,-634,25,0,866900000,1572351169.013469
3035345E3C3F5E199C8325E5,-659,17,0,866900000,1572351169.015206
3035345E3C39CF199C832009,-674,36,0,866900000,1572351169.018135
E28068100000003931D50A8C,-710,51,0,866900000,1572351169.0310788
3035345E3C3E44199C832448,-669,15,0,866900000,1572351169.0373418
3035345E3C1AE0199C8307E0,-747,3,0,866900000,1572351169.0425858
3035345E3C3D77599C83236A,-701,0,0,866900000,1572351169.047384
3035345E3C39CF199C831FFF,-747,55,0,866900000,1572351169.0527306
3035345E3C40B3D99C8327F9,-641,57,0,866900000,1572351169.053288
E28011700000020D350CABDF,-649,14,0,866900000,1572351169.0624402
3035345E3C3E44199C832446,-649,20,0,866900000,1572351169.0682821
3035345E3C39CF199C832005,-687,59,0,866900000,1572351169.072431
3035345E3C4596999C832DA7,-694,49,0,866900000,1572351169.076295
3035345E3C39CF199C832007,-649,57,0,866900000,1572351169.080354
3035345E3C446B999C832C2A,-762,6,0,866900000,1572351169.085243
E28011700000020D350CABEF,-627,35,0,866900000,1572351169.0897028
3035345E3C39CF199C832008,-674,29,0,866900000,1572351169.093179
3035345E3C3F5E199C8325E4,-641,63,0,866900000,1572351169.097973
E28068100000003931D50A64,-729,40,0,866900000,1572351169.101665
E28011700000020D350CAB2F,-634,14,0,866900000,1572351169.105273
3035345E3C3E44199C832447,-669,53,0,866900000,1572351169.1104991
E28068100000003931D50A78,-729,10,0,866900000,1572351169.1154828
3035345E3C3E44199C832449,-754,46,0,866900000,1572351169.1185338
3035345E3C434FD99C832A45,-735,14,0,866900000,1572351169.1274922
E28068100000003931D50CEE,-659,32,0,866900000,1572351169.1323366
E28068100000003931D50CC6,-674,48,0,866900000,1572351169.137197
3035345E3C3F5F199C8325E7,-729,19,0,866900000,1572351169.142078
E28011700000020D350CABFF,-735,63,0,866900000,1572351169.1441548
3035345E3C2B40999C8314BE,-710,47,0,866900000,1572351169.1527169
3035345E403DBDD99C838553,-729,10,0,866900000,1572351169.1617448
3035345E3C3D78199C83236B,-754,43,0,866900000,1572351169.165471
E28068100000003931D50D02,-669,14,0,866900000,1572351169.169375
E28011700000020D350CC58F,-641,11,0,866900000,1572351169.17134
30347A1200001ABCBC2242D9,-674,34,0,866900000,1572351169.184808
3035345E3C39CF199C832000,-754,36,0,866900000,1572351169.194796
3035345E3C4596599C832DA5,-747,49,0,866900000,1572351169.199292
3035345E3C2AFBD99C831461,-741,57,0,866900000,1572351169.2032378
E28068100000003931D50CEE,-659,38,0,866900000,1572351169.2182775
3035345E3C39CF199C832009,-669,40,0,866900000,1572351169.221458
3035345E3C39CF199C832008,-669,33,0,866900000,1572351169.225367
E28011700000020D350CABDF,-641,34,0,866900000,1572351169.2296598
3035345E3C39CF199C832005,-701,2,0,866900000,1572351169.232414
3035345E3C2B40999C8314BE,-710,51,0,866900000,1572351169.247275
3035345E3C39F2D99C83201D,-719,4,0,866900000,1572351169.251729
3035345E3C40B3D99C8327F9,-659,48,0,866900000,1572351169.2565818
E28011700000020D350CABEF,-609,47,0,866900000,1572351169.2603538
3035345E3C2C8D6F3C818345,-735,45,0,866900000,1572351169.2643788
3035345E3C39CF199C832007,-659,63,0,866900000,1572351169.2681599
E28011700000020D350CE1BE,-659,47,0,866900000,1572351169.272131
3035345E3C446B999C832C29,-779,30,0,866900000,1572351169.282549
E28011700000020D350CAB3F,-669,9,0,866900000,1572351169.291331
3035345E3C3E44199C832448,-669,18,0,866900000,1572351169.295445
3035345E3C446B999C832C2A,-729,2,0,866900000,1572351169.298302
3035345E3C4447999C832B9F,-729,0,0,866900000,1572351169.308191
E28011700000020D350CC58F,-659,23,0,866900000,1572351169.3212788
30347A1200001ABCBC2242D9,-674,15,0,866900000,1572351169.331823
3035345E3C39CF199C832000,-779,40,0,866900000,1572351169.335221
E28011700000020D350CAB2F,-649,35,0,866900000,1572351169.3392498
3035345E3C3E44199C832447,-659,3,0,866900000,1572351169.3441534
3035345E3C1AE0199C8307E0,-762,27,0,866900000,1572351169.346128
3035345E3C4596999C832DA7,-694,2,0,866900000,1572351169.355602
E28068100000003931D50CC6,-729,37,0,866900000,1572351169.3601851
3035345E3C39CF199C831FFF,-762,4,0,866900000,1572351169.364512
E28068100000003931D50D02,-701,56,0,866900000,1572351169.368618
3035345E3C39CF199C832006,-674,35,0,866900000,1572351169.369261
E28011700000020D350CABFF,-801,34,0,866900000,1572351169.393273
E28068100000003931D4FE1C,-659,23,1,866900000,1572351169.4052422
E28068100000003931D50CC6,-641,52,1,866900000,1572351169.40909
E28068100000003931D4FBAF,-674,4,1,866900000,1572351169.413188
3035345E3C46BC199C832EBF,-710,16,1,866900000,1572351169.4185839
E28011700000020D350CABEF,-627,40,1,866900000,1572351169.4223301
3035345E3C1AE0199C8307E0,-729,23,1,866900000,1572351169.4260552
E28011700000020D350CABDF,-669,48,1,866900000,1572351169.430845
3035345E403DDD199C8385C6,-754,60,1,866900000,1572351169.435714
E28068100000003931D50CEE,-641,48,1,866900000,1572351169.4372098
E28011700000020D350CABFF,-770,16,1,866900000,1572351169.445267
E28068100000003931D50D02,-669,22,1,866900000,1572351169.450259
3035345E3C1A36D99C83077A,-735,13,1,866900000,1572351169.4543989
3035345E3C4436599C832B79,-741,27,1,866900000,1572351169.458472
E28011700000020D350CAB2F,-687,10,1,866900000,1572351169.462301
